Id,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,"Height at 20 Years, Maximum (feet)"
17826,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.5,No,No,Long,No,None,No,Erect,None,
17859,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Long,No,None,No,Erect,None,
17885,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Slow,3.0,No,No,Moderate,No,None,No,Erect,None,
17903,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,3.5,No,No,Moderate,No,None,No,Erect,None,
17921,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,4.2,No,No,Long,No,None,No,Erect,None,
17948,,,,,,,,,,,,,,,,,,,,,,,,,,,
17981,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,2.8,No,No,Long,No,None,No,Erect,None,
17988,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,3.0,No,No,Moderate,No,None,No,Erect,None,
18058,Spring,Slow,None,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,3.2,No,No,Long,No,None,No,Erect,None,
21302,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Black,Yes,Rhizomatous,Moderate,4.6,No,No,Moderate,Yes,None,No,Erect,None,
21304,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Black,No,Rhizomatous,Moderate,3.3,No,No,Moderate,Yes,None,No,Erect,None,
21368,Spring,Slow,None,High,No,No,Yes,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,4.9,No,No,Long,No,None,No,Erect,None,
24236,,,,,,,,,,,,,,,,,,,,,,,,,,,
18590,Summer and Fall,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Rhizomatous,Rapid,0.7,No,No,Short,No,None,No,Semi-Erect,None,
18714,Summer and Fall,Slow,None,Medium,No,No,No,Brown,No,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,2.0,No,No,Short,No,None,No,Erect,None,
18835,Spring,Slow,None,High,No,No,Yes,Brown,No,Green,Moderate,Porous,Fine,Red,Yes,Bunch,Moderate,3.2,No,No,Long,No,None,No,Erect,None,
21508,Spring,Slow,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.4,No,No,Moderate,No,None,No,Erect,None,
21519,,,,,,,,,,,,,,,,,,,,,,,,,,,
21520,,,,,,,,,,,,,,,,,,,,,,,,,,,
21602,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,2.6,No,No,Short,No,None,No,Erect,None,
21710,Spring and Summer,Slow,None,Medium,No,No,No,,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,Long,No,None,No,Semi-Erect,None,
21712,Summer,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,4.9,No,No,Short,No,None,No,Erect,None,
18864,Summer,Slow,None,High,No,No,Yes,Brown,No,Dark Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,2.6,No,No,Moderate,No,None,No,Erect,None,
18868,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,White,No,,Porous,Porous,,Brown,No,Rhizomatous,Moderate,0.7,No,No,Moderate,No,None,No,Erect,None,
19007,Spring,,None,High,No,No,Yes,Yellow,No,Dark Green,Moderate,Porous,Fine,Brown,No,Rhizomatous,Moderate,1.6,No,No,Short,No,None,No,Erect,None,
19059,"Spring, Summer, Fall",,None,High,No,No,No,Green,No,,Porous,Porous,,Brown,No,Bunch,Moderate,4.0,No,No,Moderate,No,None,No,Erect,None,
22394,"Spring, Summer, Fall",Moderate,None,Medium,No,No,No,Yellow,No,Green,Porous,Porous,Coarse,Brown,No,Bunch,Rapid,3.0,No,No,Short,No,None,No,Erect,None,
22465,,,,,,,,,,,,,,,,,,,,,,,,,,,
22557,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,4.5,No,No,Moderate,No,None,No,Erect,None,
22656,Spring,Slow,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,2.8,No,No,Short,No,None,No,Erect,None,
22734,,,,,,,,,,,,,,,,,,,,,,,,,,,
22864,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,Yes,Rhizomatous,Moderate,0.9,No,No,Moderate,No,None,No,Erect,None,
25363,Summer,Moderate,None,High,No,Yes,No,Green,No,Green,Porous,Porous,Coarse,White,No,Bunch,Rapid,9.8,No,No,Moderate,No,None,No,Erect,None,
23137,Spring and Fall,Moderate,None,Medium,No,No,Yes,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,2.4,No,No,Moderate,Yes,None,No,Semi-Erect,None,
23194,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,
23267,Spring,Moderate,None,,No,No,No,Green,No,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,3.9,No,No,Moderate,No,None,No,Erect,None,
23276,Spring,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Fine,Red,No,Rhizomatous,Moderate,5.7,No,No,Short,No,None,No,Semi-Erect,None,
23359,"Spring, Summer, Fall",Moderate,None,Medium,No,No,No,Yellow,No,Gray-Green,Porous,Porous,Medium,Black,No,Bunch,Moderate,2.0,No,No,Moderate,No,None,No,Semi-Erect,None,
26541,Spring and Summer,Slow,None,High,No,No,No,Purple,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,
26611,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Dense,Porous,Fine,Brown,No,Bunch,Rapid,3.2,No,No,Long,No,None,No,Erect,None,
26634,"Spring, Summer, Fall",Slow,None,High,No,No,No,Green,No,Red,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,2.9,No,No,Moderate,No,None,No,Erect,None,
26651,Spring,Slow,None,Medium,No,No,Yes,Brown,No,Dark Green,Moderate,Porous,Coarse,Yellow,No,Bunch,Moderate,6.6,No,No,Long,No,None,No,Erect,None,
26724,Spring and Summer,Slow,None,Medium,No,No,No,Brown,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,2.0,No,No,Long,No,None,No,Erect,None,
26783,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Long,No,None,No,Erect,None,
26799,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Slow,1.5,No,No,Moderate,No,None,No,Erect,None,
23605,Summer,Moderate,None,,No,No,No,Green,No,Dark Green,Moderate,Porous,Fine,Red,No,Rhizomatous,Moderate,4.9,No,No,Moderate,No,None,No,Erect,None,
23608,Spring,Moderate,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Red,No,Rhizomatous,Moderate,3.9,No,No,Short,Yes,None,No,Erect,None,
23997,Spring and Summer,Moderate,None,Medium,No,Yes,No,Red,No,Yellow-Green,Dense,Moderate,Fine,Purple,No,Bunch,Moderate,3.0,No,No,Short,Yes,None,No,Erect,None,
24042,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Short,No,None,No,Semi-Erect,None,
24262,Summer and Fall,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,3.3,No,No,,No,None,No,Semi-Erect,None,
24345,Summer,Slow,None,,No,No,No,Green,No,Green,Dense,Dense,Medium,Brown,No,Bunch,Moderate,3.3,No,No,Long,No,None,No,Erect,None,
24393,Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Rhizomatous,Rapid,6.0,No,No,Long,No,None,No,Erect,None,
24659,"Spring, Summer, Fall",Moderate,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,6.0,No,No,Long,Yes,None,No,Erect,Slight,
24710,Spring,Moderate,None,High,No,No,No,White,No,Green,Dense,Moderate,Coarse,White,Yes,Rhizomatous,Rapid,13.0,No,No,Long,No,Low,No,Erect,None,
25028,"Spring, Summer, Fall",Slow,None,Low,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Slow,2.0,No,No,Moderate,Yes,None,No,Erect,None,
25340,,,,,,,,,,,,,,,,,,,,,,,,,,,
25478,Summer and Fall,Moderate,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.5,No,No,Long,No,None,No,Erect,None,
19652,Summer,Slow,None,Medium,No,No,Yes,Blue,No,Dark Green,Dense,Moderate,Coarse,Brown,No,Rhizomatous,Moderate,4.9,No,No,Long,No,None,No,Erect,None,
19669,"Spring, Summer, Fall",Slow,None,High,No,No,No,Red,No,Green,Dense,Porous,Coarse,Green,No,Rhizomatous,Rapid,9.0,No,No,Long,No,None,No,Erect,None,
19732,Spring,Slow,None,,No,No,No,Brown,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,5.9,No,No,Long,No,None,No,Erect,None,
19736,Spring,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Yellow,Yes,Bunch,Moderate,4.9,No,No,Long,No,None,No,Erect,None,
19768,Spring and Summer,Slow,None,High,No,No,No,Red,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,4.0,No,No,Long,No,None,No,Erect,None,
25695,Summer and Fall,Slow,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Rapid,6.5,No,No,Long,No,None,No,Erect,None,
26962,Spring,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Green,No,Colonizing,Moderate,3.2,No,No,Moderate,No,None,No,Erect,None,
25851,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.3,No,No,Moderate,No,None,No,Erect,None,
26132,Summer,Rapid,None,Low,No,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,Yes,Bunch,Moderate,2.5,No,No,Short,No,None,No,Erect,None,
26161,Spring and Summer,Rapid,None,Medium,No,No,No,Yellow,No,Green,Dense,Moderate,Medium,Brown,No,Bunch,Rapid,6.0,No,No,Long,No,None,No,Erect,None,
27001,Spring and Summer,Moderate,None,High,No,No,No,Brown,No,Green,Porous,Porous,Coarse,Brown,Yes,Rhizomatous,Rapid,5.0,No,No,Moderate,No,None,No,Erect,None,
26483,Spring and Summer,Rapid,None,Medium,No,Yes,No,Yellow,No,Green,Dense,Moderate,Coarse,Yellow,No,Rhizomatous,Rapid,9.0,No,No,Moderate,Yes,None,No,Erect,None,
31206,Spring,Moderate,Low,Medium,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,3.0,No,No,Moderate,No,None,No,Erect,Slight,
16268,Spring and Summer,Slow,None,,No,No,Yes,Yellow,No,Green,Dense,Moderate,Medium,Green,No,Rhizomatous,Moderate,3.9,No,No,Moderate,No,None,No,Erect,None,
16271,Spring and Summer,Moderate,None,High,No,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Moderate,5.0,No,No,Moderate,No,None,No,Semi-Erect,None,
72484,,,,,,,,,,,,,,,,,,,,,,,,,,,
72494,,,,,,,,,,,,,,,,,,,,,,,,,,,
31339,,,,,,,,,,,,,,,,,,,,,,,,,,,
15744,Spring and Summer,Slow,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Moderate,0.5,No,No,Moderate,No,None,No,Erect,None,
27903,,,,,,,,,,,,,,,,,,,,,,,,,,,
43228,,,,,,,,,,,,,,,,,,,,,,,,,,,
72538,,,,,,,,,,,,,,,,,,,,,,,,,,,
72594,,,,,,,,,,,,,,,,,,,,,,,,,,,
31762,Spring and Summer,Slow,None,Medium,No,No,No,Red,No,Dark Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Slow,1.0,No,No,Short,No,None,No,Prostrate,None,
31814,,,,,,,,,,,,,,,,,,,,,,,,,,,
31911,,,,,,,,,,,,,,,,,,,,,,,,,,,
72621,,,,,,,,,,,,,,,,,,,,,,,,,,,
16310,,,,,,,,,,,,,,,,,,,,,,,,,,,
16316,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Dense,Dense,Coarse,Red,Yes,Rhizomatous,Moderate,1.5,Yes,No,Moderate,No,None,No,Erect,Slight,
32298,Spring and Summer,Slow,None,High,No,No,Yes,White,No,White-Gray,Porous,Moderate,Medium,White,No,Rhizomatous,Rapid,3.0,Yes,No,Short,No,None,No,Erect,None,
88802,,,,,,,,,,,,,,,,,,,,,,,,,,,
71268,,,,,,,,,,,,,,,,,,,,,,,,,,,
43539,Spring,Slow,None,,No,No,Yes,Red,Yes,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,4.9,No,No,Moderate,No,None,No,Erect,Moderate,
43580,,,,,,,,,,,,,,,,,,,,,,,,,,,
43599,,,,,,,,,,,,,,,,,,,,,,,,,,,
43605,Spring and Summer,Slow,None,Low,No,No,No,Orange,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,2.0,No,No,Moderate,No,None,No,Erect,None,
43619,,,,,,,,,,,,,,,,,,,,,,,,,,,
43621,,,,,,,,,,,,,,,,,,,,,,,,,,,
68486,,,,,,,,,,,,,,,,,,,,,,,,,,,
77136,"Spring, Summer, Fall",Moderate,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Moderate,0.5,No,No,Short,No,Low,No,Prostrate,Slight,
78033,,,,,,,,,,,,,,,,,,,,,,,,,,,
78085,Summer,Slow,None,Medium,No,No,No,Yellow,Yes,Gray-Green,Moderate,Porous,Medium,Brown,No,Single Crown,Moderate,2.5,No,No,Moderate,No,Low,No,Erect,None,
32620,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,3.5,No,No,,No,None,No,Erect,None,
32652,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Purple,No,Single Crown,Rapid,3.2,No,No,,No,None,No,Erect,None,
32705,"Spring, Summer, Fall",Slow,None,High,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,4.0,No,No,,No,None,No,Erect,None,
12726,,,,,,,,,,,,,,,,,,,,,,,,,,,
72708,Spring,Slow,None,High,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Slow,2.0,No,No,Moderate,No,None,No,Semi-Erect,None,
78361,Spring,,None,Low,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Bunch,Rapid,2.4,No,No,,No,Medium,No,Erect,Slight,
50704,,,,,,,,,,,,,,,,,,,,,,,,,,,
33399,,,,,,,,,,,,,,,,,,,,,,,,,,,
33436,,,,,,,,,,,,,,,,,,,,,,,,,,,
72807,,,,,,,,,,,,,,,,,,,,,,,,,,,
78506,,,,,,,,,,,,,,,,,,,,,,,,,,,
16911,,,,,,,,,,,,,,,,,,,,,,,,,,,
33849,Summer,Slow,None,,No,Yes,No,Blue,No,Green,Moderate,Moderate,Medium,,No,Single Crown,Moderate,3.2,No,No,Moderate,No,None,No,Erect,None,
28406,,,,,,,,,,,,,,,,,,,,,,,,,,,
33940,Spring and Summer,Slow,None,Low,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Medium,Black,Yes,Single Crown,Moderate,2.0,No,No,Moderate,No,None,No,Erect,None,
33987,,,,,,,,,,,,,,,,,,,,,,,,,,,
33992,,,,,,,,,,,,,,,,,,,,,,,,,,,
45660,,,,,,,,,,,,,,,,,,,,,,,,,,,
84380,Summer and Fall,,None,High,No,No,No,Red,Yes,Green,Dense,Moderate,Coarse,Brown,No,Colonizing,Rapid,8.0,No,No,Long,No,None,Yes,Erect,None,
73087,,,,,,,,,,,,,,,,,,,,,,,,,,,
79106,Spring and Summer,Slow,Low,Low,No,Yes,No,Purple,Yes,Green,Moderate,Porous,Medium,Brown,Yes,Single Crown,Moderate,3.0,No,No,Moderate,No,Low,No,Erect,None,
71832,,,,,,,,,,,,,,,,,,,,,,,,,,,
71836,,,,,,,,,,,,,,,,,,,,,,,,,,,
34298,,,,,,,,,,,,,,,,,,,,,,,,,,,
34475,Spring and Summer,Slow,None,Medium,No,No,Yes,Purple,Yes,Green,Porous,Porous,Fine,Black,No,Single Stem,Moderate,1.2,No,No,Long,No,None,No,Erect,None,
34506,Summer,Slow,None,High,No,No,No,Purple,Yes,Dark Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,2.7,No,No,Moderate,No,None,No,Erect,None,
15884,Spring,Slow,None,High,No,No,Yes,White,No,Gray-Green,Moderate,Porous,Medium,Yellow,No,Multiple Stem,Rapid,,No,No,Long,No,None,No,Erect,None,
85932,Spring,Slow,None,,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,3.3,No,No,Moderate,No,None,No,Erect,None,
12212,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Coarse,Green,No,Rhizomatous,Rapid,0.9,No,No,Short,No,None,No,Erect,Moderate,
12228,,,,,,,,,,,,,,,,,,,,,,,,,,,
35138,Spring and Summer,Slow,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Stoloniferous,Moderate,2.8,No,No,Short,No,None,No,Semi-Erect,None,
35163,,,,,,,,,,,,,,,,,,,,,,,,,,,
60308,,,,,,,,,,,,,,,,,,,,,,,,,,,
74019,,,,,,,,,,,,,,,,,,,,,,,,,,,
28499,,,,,,,,,,,,,,,,,,,,,,,,,,,
35396,,,,,,,,,,,,,,,,,,,,,,,,,,,
35415,,,,,,,,,,,,,,,,,,,,,,,,,,,
35438,,,,,,,,,,,,,,,,,,,,,,,,,,,
76059,,,,,,,,,,,,,,,,,,,,,,,,,,,
