strSciName,keyID,strCategory,strCommonName,strToken,flgEvaluated,flgRecommended,flgNativeTo,flgAvail,,flgPNLightFull,flgPNLightPartialSun,flgPNLightShade,flgPNMoistureLow,flgPNMoistureMed,flgPNMoistureHigh,flgPNSeasonalWet,flgPNAquatic,strPNUniqueSoils,flgGHDeerResistant,flgGHGroundhogResistant,flgGHSpreadRapidly,flgSWBioretention,flgSWRainGarden,flgSWRetentionBasinWet,flgSWDetentionBasinDry,flgSWStreamBuffer,flgSWGreenRoof,flgSWSwale,flgSWWetland,strPCFoliageColor,strPCHeightLow,strPCHeightHigh,flgPCHeightIncr,flgPCHeightPlus,strPCSpreadLow,strPCSpreadHigh,flgPCSpreadIncr,flgPCSpreadPlus,Off set,flgPCGroundCover,strSciName,strPCBloomTime,strPCFlowerColor,flgPCEdible,flgPCEasyGrow,flgPMSeed,flgPMPlug,flgPMRootBall,flgPMStaking,flgRUErosion,flgRUWildlife,strCaterpHostPlantComName,strCaterpHostPlantSciName,strLandscape,flgRUSubdivision,flgRUHorticulture,flgRUScreening,flgRUHedge,flgRUParkingLot,flgRUStreetscape,flgRUOpenSpace,flgShallowRoots,strSlopes,strSpecialUses,strLandscapeGardenUses,strPlantCommunity,strTolerates,strSusceptible,strPlantingRecommendations,strGrowthPatterns,strSeasonColor,strBlooms,strMaintenance,strComments,Temp_NotFound,strSource,strThumbLink,strPicture1,strPicture2,strPicture3,strPicture4,booActive,dteDateAdded,dteDateChanged,strUserName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium platyneuron,1145,1,ebony spleenwort,ASPL,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,Y,Y,Y,Y,Y, , , ,"O,R,S", , , , ,Y, , ,Y, ,NULL,NULL,,6,18,I, ,NULL,NULL, , ,, ,Asplenium platyneuron,,, ,E, , , , , ,"H,                  ",,,Y, ,Y, ,, , , ,,,evergreem,"Prefers rocky locations,,dryish, rocky, shady areas of rock gardens, native plant gardens or woodland areas,piney woods","rocky wooded ledges, rocky slopes and mossy banks,upland woodlands, sandy woodlands, sandy savannas, rocky wooded slopes, rocky cliffs and ledges (if not too sunny and dry), small meadows in upland wooded areas, sandy meadows, sandstone and limestone glades, and rocky banks along roads. In the rocky habitats where this fern occurs, there may be some seepage of ground water. Ebony Spleenwort is found in both higher quality natural areas and more disturbed habitats (e.g., where there has been some removal of trees or brush in wooded areas by fire or other means).","Rabbit, Drought, Heavy Shade,some drought",No serious insect or disease problems. Crown rot can be a significant problem in poorly drained soils. Susceptible to slugs.,"partial sun or dappled sunlight, moist to slightly dry conditions, and soil that is loamy, rocky, or sandy","Erect fronds,small tufts of simple-pinnate leaves,root system consists of a short rhizome with fibrous roots",,,Avoid overwatering,"semi-evergreen,Central stipe (stem) is dark purplish brown,spores are released to the wind during the summer or early fall",,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,09:37.4,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athyrium filix-femina,1147,1,common ladyfern,ATFI,Y,N,U              ,W      ,, , ,Y, ,Y, , , ,"O,A", , , , , , , , , ,NULL,NULL,,2,3.5,f, ,NULL,NULL, , ,, ,Athyrium filix-femina,,, ,E, , , , ,Y,                    ,,, , , , ,, , , ,,protected,,,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:40.3,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athyrium asplenioides,1148,1,southern ladyfern,ATFIA2,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,,Y,Y, ,Y,Y, , ,                         , , , , ,Y, , , , ,NULL,NULL,,NULL,NULL, , ,NULL,NULL, , ,, ,Athyrium asplenioides,,, ,E, , , , , ,                    ,,,Y, , , ,, , , ,,,,"shady area of the landscape in need of a small but easy-to-grow fern,Rock gardens, woodland gardens, shaded border fronts or shade gardens. Also effective in shaded areas along streams or ponds","rich moist woods, thickets, fields, meadows and ravines","Rabbit, Heavy Shade,drier soils than many other ferns, full sun only if soil is kept constantly moist","wind,No serious insect or disease problems. Fronds frequently become somewhat tattered in appearance by mid summer.",,The root system is fibrous and rhizomatous,"reddish brown late in the season,yellowish green during spring",,"Low,Divide clumps in spring every few years to reposition crowns at the soil level",,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,10:50.1,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrypus virginianus,1159,1,rattlesnake fern,BOVI,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,Y,Y, ,Y,Y, , , ,RO, , , , ,Y, , ,Y, ,NULL,NULL,G,2,6,i, ,5,10,i, ,, ,Botrypus virginianus,"04,05",X, ,E, , , , , ,H                   ,,,Y, ,Y, ,, , , ,,,,,,,,,,,,,,not found in Missouri botanical garden,Primary,NULL,NULL,NULL,NULL,NULL,A,28:40.4,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheilanthes lanosa,1212,1,hairy lip fern,CHLA2,Y,R,"A,C,B,P,G,Q,F,M,N,O,R,V,U        ",W      ,,Y,Y, ,Y, , , , ,"K,L,D                    ", , , , , , , ,,Y,NULL,NULL,"I,Q,E,F",6,12,I, ,15,18,I, ,, ,Cheilanthes lanosa,,"E,X", ,E, , , , , ,                    ,,, , ,Y, ,, , , ,,,,disturbed and barren areas,,,,,,,,,LM:For xeric sunny conditions,not found in Missouri botanical garden,Primary,NULL,NULL,NULL,NULL,NULL,A,28:40.6,00:00.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheilanthes tomentosa,1213,1,wooly lip fern,CHTO2,Y,R,"A,C,B,P,F,N,V,U        ",W      ,,Y, , ,Y, , , , ,"K,L,D                    ", , , , , , , , ,Y,NULL,NULL,"I,Q,E,F",6,18,I, ,NULL,NULL, , ,, ,Cheilanthes tomentosa,,"E,X", ,E, , , , , ,                    ,,, , , , ,, , , ,,,,,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:40.9,00:00.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennstaedtia punctilobula,1250,1,hay scented fern,DEPU2,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,, ,Y,Y,Y,Y, , , ,"A,SO,K                    ",Y, ,Y, ,Y, , ,, ,NULL,NULL,"F,G-YG",1,3,F, ,2,3,F, ,,Y,Dennstaedtia punctilobula,,X, ,E, , , , , ,                    ,,, , , , ,, , , ,,,good groundcover,"naturalize,raingarden,woodland areas, shade gardens, cottage gardens or wild areas",open woods and wooded banks,"Rabbit, Heavy Shade,tolerates full sun with consistent moisture,Also tolerates a wide range of soils, including poor rocky soils and, once well established, dry soils. Also tolerates full shade","No serious insect or disease problems. In hot summer climates, fronds tend to decline by late summer",,"Multi trunk,Spreads aggresively by rhizomes to form colonies, lacy, narrow-triangular, erect to arching",Fronds turn yellow in fall,,,"Leaf: Fragrant- reminiscent of fresh mown hay when brushed with a hand, crushed or bruised, Good Fall",,Primary,NULL,NULL,NULL,NULL,NULL,A,28:42.1,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris celsa ,1261,1,log fern,DRCE,Y,R,"A,C,Q,F,V,U        ",       ,, ,Y,Y, ,Y, , , ,"R,Q,A", , , , , , , ,, ,NULL,NULL,G,3,4,F, ,1.5,2.5,f, ,, ,Dryopteris celsa ,,X, ,E, , , , , ,                    ,,, , , , ,, , , ,,,,"woodland, shade or native plant gardens. Shady areas of borders,wetland",moist woods and swamps,"Rabbit, Heavy Shade","wind,No serious insect or disease problems.",,"upright habit to 3-4' tall and features firm, erect, deeply cut, shiny dark green fronds with contrasting dark central stipes (stems). Fronds are semi evergreen.",,,Low,wetland,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:42.4,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris cristata,1262,1,crested woodfern,DRCR4,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,Y,Y,Y, ,Y,Y, , ,                         , , , , , , , ,, ,NULL,NULL,E,1,3,F, ,NULL,NULL, , ,, ,Dryopteris cristata,,, ,E, , , , , ,                    ,,, , , , ,, , , ,,,,wetland,,,,,,,,,"beautiful, obligate wetland",not found in Missouri botanical garden,Primary,NULL,NULL,NULL,NULL,NULL,A,28:42.9,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris intermedia,1263,1,"evergreen wood,fancy fern",DRIN5,Y,R,"A,C,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,,Y, ,,Y,Y, , ,                         , , , , ,Y, , ,Y, ,NULL,NULL,E,10,36,I, ,NULL,NULL, , ,, ,Dryopteris intermedia,,X, ,E, , , , , ,"C,H              ",,,Y, ,Y, ,, , , ,,,,"obligate wetland,Excellent fern for woodland or shade gardens. Containers, borders, rock gardens. Grow along shaded walls or buildings. Mass in shaded areas.

    Plant Finder
    Lawn, Landscape & Garden Design
    Edible Gardening
    Advice, Tips & Resources
    Plants of Merit
    Sustainable Gardening
    Gardening Education & Classes
    Visit the Center for Home Gardening
    Gardening Help Site Map

Gardening Help Search

Dryopteris intermedia
Back to Previous Page

Be the first to comment on this plant
Species Native to Missouri
Common Name: intermediate wood fern
Type: Fern
Family: Dryopteridaceae
Native Range: Northeastern United States
Zone: 5 to 8
Height: 1.00 to 3.00 feet
Spread: 1.00 to 3.00 feet
Bloom Time: Non-flowering
Sun: Part shade to full shade
Water: Medium
Maintenance: Low
Other: Winter Interest
Tolerate: Rabbit, Heavy Shade, Clay Soil
Garden locations
Culture

Easily grown in average, medium moisture, well-drained soils in part shade to full shade. Prefers fertile, moist, humusy loams that are rich in organic matter. Best with consistent moisture. Soils should not be allowed to dry out. Site in locations protected from strong winds to prevent damage to the fronds. Tolerant of high humidity. Fronds are evergreen to semi-evergreen in mild winter climates, but deciduous in the St. Louis area. Where deciduous, the old fronds should be cut off in late winter prior to the emergence of the new growth. Propagate by division or spores.
Noteworthy Characteristics

Dryopteris intermedia, commonly called evergreen wood fern, glandular wood fern to fancy fern, is a rhizomatous wood fern that is native to moist woodland areas, ravines, swamp margins and rocky slopes in Eastern North America from Newfoundland to Ontario to Minnesota south to Missouri and Georgia. It is common through much of its range, but uncommon in Missouri where it is typically found on shaded ledges and sandstone bluffs. It was formerly known as Dryopteris spinulosa var. intermedia, and is very similar in appearance to Dryopteris carthusiana (formerly known as Dryopteris spinulosa) from which it is primarily distinguished by (a) length of pinnules on lowest pair of pinnae being usually shorter than the length of the next pinnule and (b) glandular leaf blades.

This is a lacy evergreen wood fern that typically grows to 1-3’ tall with upright arching fronds to 40” long and 8” wide. Frond leaflets are lobed and toothed. Oval to narrow triangular, thrice-cut, finely dissected blade has 10-15 pairs of narrow lance-shaped pinnae (leaflets). Sori (fruit dots) appear on the leaflet undersides on fertile fronds in early to mid-summer.

Genus name from Greek dryas meaning oak and pteris meaning fern in reference to the presence of some species of wood ferns in woodland areas populated with oaks.

Specific epithet means intermediate in probable reference to this fern being between D. carthusiana and D. campyloptera.
Problems

No serious insect or disease problems.
Garden Uses

Excellent fern for woodland or shade gardens. Containers, borders, rock gardens. Grow along shaded walls or buildings. Mass in shaded areas","moist woodland areas, ravines, swamp margins and rocky slopes,shaded ledges and sandstone bluffs","Rabbit, Heavy Shade, Clay Soil,high humidity,dryish slopes","wind,No serious insect or disease problems.",Propagate by division or spores,"lacy evergreen wood fern that typically grows to 1-3’ tall with upright arching fronds to 40” long and 8” wide. Frond leaflets are lobed and toothed. Oval to narrow triangular, thrice-cut, finely dissected blade has 10-15 pairs of narrow lance-shaped pinnae (leaflets). Sori (fruit dots) appear on the leaflet undersides on fertile fronds in early to mid-summer.",,,old fronds should be cut off in late winter prior to the emergence of the new growth,Winter Interest,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:43.0,00:00.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris marginalis,1264,1,"marginal shield,marginal wood fern",DRMA4,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,,Y,Y, ,Y, , , ,"A,K",Y, , , ,Y, , ,Y, ,NULL,NULL,"E,H",1,3,F, ,NULL,NULL, , ,, ,Dryopteris marginalis,,X, ,E, , , , ,Y,"C,H           ",,,Y, ,Y, ,, , , ,,,,"woodland, rock, native plant or wild garden. Mixes well with spring wildflowers. Excellent as a specimen or in groups.",crevices of rocky ledges and bluffs,"Rabbit, Heavy Shade","wind,No serious insect or disease problems",,"forms a non-spreading, vase-shaped clump,grayish-green, deeply cut, leathery fronds (15-20"" long). Sori are located at the edges or margins of the pinnule undersides, hence the common name. Rhizome forms an erect crown.",,,Low,Winter Interest,,Secondary,NULL,NULL,NULL,NULL,NULL,A,28:43.1,00:00.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris carthusiana,1265,1,"tooth,spinulose wood fern",DRCA11,Y,R,"A,C,G,Q,F,L,M,N,O,R,V,U        ",       ,, ,Y,Y, ,Y, , , ,"S,K,A",Y,Y, , , , , ,Y, ,NULL,NULL,G,2,3,F, ,2,3,f, ,, ,Dryopteris carthusiana,,x, ,E, , , , , ,C,,, , , , ,, , , ,,,,"Mass in shady areas of the woodland, rock, native plant or wild garden. Grows well with spring wildflowers",,"Rabbit, Heavy Shade","wind,No serious insect or disease problems.",,"Features lacy, bright lime-green, outward-growing fronds with blackish scales on the stipes (frond stems). Fronds will remain green in mild winters. Fronds are finely toothed and dissected.",,,Low,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:42.2,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lygodium palmatum,1383,1,"American climbing,Hartford fern",LYPA3,Y,R,"A,C,B,F,L,V,U        ",W      ,, ,Y, , ,Y,Y, , ,"A,M                      ", , ,Y, , , , ,, ,NULL,NULL,"E,F",6,12,F, ,NULL,NULL, , ,, ,Lygodium palmatum,,X, ,E, , ,Y, , ,H                   ,,, , ,Y, ,, , , ,,,semi-evergreen ,"vining fern,moist acid areas",,,,,,,,,"residential, moist acid soil",not found in Missouri botanical garden,Primary,NULL,NULL,NULL,NULL,NULL,A,28:43.2,00:00.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmundastrum cinnamomeum,1411,1,cinnamon fern,OSCI,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,,Y,Y, ,Y,Y, , ,"A,S",Y, , , , , , ,, ,NULL,NULL,E,3,6,F, ,NULL,NULL, , ,, ,Osmundastrum cinnamomeum,,X, ,E, , , , ,Y,"C,H              ",,,Y, ,Y, ,, , , ,,,,"Evergreen, wet areas along ponds, streams, water gardens or in bogs. Also grows well in shaded borders, woodland gardens, wild gardens or native plant gardens.","moist, boggy ground along streams and on shaded ledges and bluffs","Rabbit, Heavy Shade",No serious insect or disease problems.,"Separate spore-bearing, stiff, fertile fronds appear in early spring, quickly turning brown. The familiar ""fiddleheads"" also emerge from the base of the plant and unfurl into large, erect, pinnately-compound, yellowish-green, sterile fronds (2-4' long) which remain attractive throughout the summer and turn yellow in autumn. The common name of this plant is in reference to the cinnamon colored fibers found near the frond bases.",,,,Low,Osmunda fiber used in the potting of orchids comes from the roots of these ferns,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,05:03.9,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmunda claytoniana,1412,1,interrupted fern,OSCL2,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,,Y,Y, ,Y,Y, , ,"A,O,S,K", , , , ,Y, , ,Y, ,Y,NULL,E,3,6,F, ,NULL,NULL, , ,, ,Osmunda claytoniana,6,N, ,E, , , , , ,H,,, , , , ,, , , ,,,,shaded woodland or wild gardens. Also effective along ponds or streams. Interesting accent for the shaded border.,"moist, wooded slopes of ravines, moist sandstone ledges and wet woodlands","Rabbit, Heavy Shade",No serious insect or disease problems.,,"spreading-vase form,slow growing",,,Low,"Broad fronds are ""interrupted"" in the middle by spore-bearing pinnae (leaflets) which typically fall off in mid summer, thus giving rise to the common name",,Primary,NULL,NULL,NULL,NULL,NULL,A,28:43.4,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmunda spectabilis,1413,1,royal fern,OSRE,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",W      ,,Y,Y,Y, ,Y,Y, , ,"S,A,K,G",Y, , , ,Y, , ,, ,NULL,NULL,"H,G,YG",3,6,F, ,NULL,NULL, , ,, ,Osmunda spectabilis,,X, ,E, , , , ,Y,                    ,,, , , , ,, , , ,,,,"wet areas along ponds, streams, water gardens or in bogs. Also grows well in shaded borders, woodland gardens, wild gardens or native plant gardens.",moist bluffs and ledges and along streams (sometimes growing in the water),tolerates close to full sun as long as given consistent moisture,No serious insect or disease problems.,,,,,Low,Osmunda fiber used in the potting of orchids comes from the fibrous roots of these ferns,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:43.5,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellaea atropurpurea,1428,1,purple cliffbrake,PEAT2,Y,R,"B,P,Q,F,L,N,O,V,U        ",W      ,,Y, , ,Y, , , , ,"B,K,D                    ", , , , , , , , ,Y,NULL,NULL,"B,F",NULL,NULL, , ,NULL,NULL, , ,, ,Pellaea atropurpurea,,, ,E, , , , , ,                    ,,,Y, ,Y, ,, ,Y, ,,,,"Living wall,greenroof?",,"Rabbit, Drought, Dry Soil, Shallow-Rocky Soil",,,"Broad fronds have large, well-separated pinnae (leaflets) which give this fern an almost pea-family appearance",yellow to brown,,,"Needs alkaline conditions (greenstone, limestone, etc.)  Grows in urban areas of Stanton in rock walls. ",not found in Missouri botanical garden,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,33:03.6,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodium virginianum,1467,1,"rock polypody,rockcap fern",POVI7,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",       ,, ,Y,Y, ,Y, , , ,"K,A", , , , , , , ,, ,NULL,NULL,E,5,10,i, ,,,, ,, ,Polypodium virginianum,,, , , , , , , ,                    ,,, , , , ,, , , ,,,"evergreen,Winter Interest","Mass or group in rock gardens, wild gardens, native plant gardens or naturalized rocky woodland areas.","boulders, rocks, ledges and bluff crevices of sandstone, chert or granite",,No serious insect or disease problems,"Can be difficult to establish, but once adapted will naturalizes over time into large colonies by branched, creeping rhizomes.","reeping clumps to 10” tall with erect to arching, leathery, oblong-lanceolate to triangular, deeply-cut, pinnately lobed fronds",,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,56:37.2,00:00.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
