Active Growth Period,After Harvest Regrowth Rate,Bloat,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Id,C:N Ratio,"Height at 20 Years, Maximum (feet)"
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Multiple Stem,Moderate,25.0,No,No,Moderate,No,None,Yes,Erect,None,92875,High,25
Spring and Summer,Slow,None,No,Yes,No,Brown,No,Dark Green,Moderate,Porous,Fine,Brown,No,Rhizomatous,Moderate,1.3,No,No,Moderate,No,None,No,Semi-Erect,None,14357,Medium,
Spring and Summer,,None,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Moderate,65.0,No,No,Long,No,None,Yes,Erect,Severe,93131,High,30
,,,,,,,,,,,,,,,,,,,,,,,,,31339,,
"Spring, Summer, Fall",Moderate,None,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,3.5,No,No,Short,Yes,None,No,Erect,None,20153,Low,
"Spring, Summer, Fall",Moderate,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.5,No,No,Short,No,None,No,Decumbent,None,20180,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,27903,,
Spring and Summer,,None,No,No,No,,No,Green,Moderate,Porous,Coarse,Brown,No,Thicket Forming,Rapid,25.0,No,No,Short,No,Medium,No,Erect,None,69903,High,15
Spring and Summer,,None,No,No,No,,No,Green,Dense,Porous,Coarse,Brown,No,Multiple Stem,Rapid,30.0,No,No,Moderate,No,Medium,No,Erect,None,69928,High,12
Spring and Summer,Slow,None,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Moderate,0.5,No,No,Moderate,No,None,No,Erect,None,15744,Medium,
Spring and Summer,,None,No,Yes,No,White,Yes,Dark Green,Dense,Porous,Fine,Red,Yes,Single Stem,Slow,36.0,No,No,Moderate,No,None,Yes,Erect,None,88664,Medium,25
Spring and Summer,,None,No,Yes,Yes,White,Yes,Green,Dense,Porous,Coarse,Purple,Yes,Multiple Stem,Moderate,23.0,No,No,Long,No,None,Yes,Erect,None,88673,Medium,20
Summer,,None,Yes,Yes,No,Purple,Yes,Yellow-Green,Dense,Porous,Fine,Brown,Yes,Multiple Stem,Slow,15.0,No,No,Moderate,No,Medium,Yes,Rounded,Slight,76871,High,6
Spring and Summer,,None,Yes,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Purple,Yes,Multiple Stem,Moderate,35.0,No,No,Short,No,None,Yes,Erect,None,88685,High,30
Spring and Summer,,None,No,No,No,White,Yes,Green,Moderate,Porous,Medium,Purple,Yes,Single Stem,Moderate,10.0,No,No,Moderate,No,None,Yes,Erect,None,88708,High,10
,,,,,,,,,,,,,,,,,,,,,,,,,43228,,
Summer,Moderate,None,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Moderate,7.0,No,No,Long,No,None,No,Erect,None,20316,Medium,
Summer,Moderate,None,No,Yes,No,White,No,Green,Dense,Moderate,Fine,Brown,No,Bunch,Moderate,6.3,No,No,Moderate,Yes,None,No,Erect,None,20324,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,72538,,
Spring and Summer,Slow,None,No,No,No,Red,No,Dark Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Slow,1.0,No,No,Short,No,None,No,Prostrate,None,31762,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,31814,,
,,,,,,,,,,,,,,,,,,,,,,,,,72594,,
,,,,,,,,,,,,,,,,,,,,,,,,,31911,,
Summer,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,3.0,No,No,Moderate,No,None,No,Erect,None,20367,High,
Spring and Summer,Slow,None,No,No,No,Purple,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Rapid,1.0,No,No,Moderate,No,Medium,No,Climbing,None,76939,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,72621,,
,,,,,,,,,,,,,,,,,,,,,,,,,88802,,
,,,,,,,,,,,,,,,,,,,,,,,,,16310,,
Spring,Rapid,None,No,Yes,No,,No,Dark Green,Dense,Dense,Medium,,No,Rhizomatous,Rapid,25.0,No,No,Long,No,None,No,Erect,None,20561,High,
Spring and Summer,Slow,None,No,No,Yes,White,No,White-Gray,Porous,Moderate,Medium,White,No,Rhizomatous,Rapid,3.0,Yes,No,Short,No,None,No,Erect,None,32298,High,
,,,,,,,,,,,,,,,,,,,,,,,,,71241,,
Spring and Summer,,None,Yes,No,No,White,Yes,Green,Porous,Porous,Coarse,Black,No,Multiple Stem,Moderate,20.0,No,No,Moderate,No,None,Yes,Erect,Slight,74685,High,20
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Dense,Dense,Coarse,Red,Yes,Rhizomatous,Moderate,1.5,Yes,No,Moderate,No,None,No,Erect,Slight,16316,High,
,,,,,,,,,,,,,,,,,,,,,,,,,71268,,
"Spring, Summer, Fall",Moderate,None,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Moderate,0.5,No,No,Short,No,Low,No,Prostrate,Slight,77136,Medium,
Spring,Slow,None,No,No,Yes,Red,Yes,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,4.9,No,No,Moderate,No,None,No,Erect,Moderate,43539,,
,,,,,,,,,,,,,,,,,,,,,,,,,13080,,
,,,,,,,,,,,,,,,,,,,,,,,,,43580,,
,,,,,,,,,,,,,,,,,,,,,,,,,43599,,
Spring and Summer,,None,Yes,Yes,No,Purple,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Single Stem,Slow,25.0,No,No,Short,No,None,Yes,Erect,None,71503,High,25
Spring and Summer,Slow,None,No,No,No,Orange,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,2.0,No,No,Moderate,No,None,No,Erect,None,43605,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,43619,,
,,,,,,,,,,,,,,,,,,,,,,,,,43621,,
"Spring, Summer, Fall",Slow,None,No,Yes,No,,No,Green,Dense,Porous,Fine,,No,Rhizomatous,Moderate,3.0,No,No,Long,No,None,No,Semi-Erect,None,13404,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,13412,,
,,,,,,,,,,,,,,,,,,,,,,,,,78033,,
Summer,Slow,None,No,No,No,Yellow,Yes,Gray-Green,Moderate,Porous,Medium,Brown,No,Single Crown,Moderate,2.5,No,No,Moderate,No,Low,No,Erect,None,78085,Medium,
Spring and Summer,,None,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Single Stem,Slow,75.0,Yes,No,Moderate,No,None,No,Erect,None,69950,High,25
Spring and Summer,,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,60.0,No,No,Moderate,No,None,Yes,Erect,None,69974,High,15
Spring and Summer,,None,Yes,No,No,Brown,No,Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Rapid,70.0,No,No,Short,No,None,Yes,Erect,None,69997,Medium,35
Spring and Summer,,None,Yes,Yes,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Rapid,70.0,No,No,Moderate,No,None,Yes,Erect,None,70004,Medium,40
"Spring, Summer, Fall",Slow,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,3.5,No,No,,No,None,No,Erect,None,32620,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,49180,,
"Spring, Summer, Fall",Slow,None,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Purple,No,Single Crown,Rapid,3.2,No,No,,No,None,No,Erect,None,32652,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,4.0,No,No,,No,None,No,Erect,None,32705,High,
Summer,Moderate,None,No,No,No,Yellow,No,Gray-Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Moderate,0.5,No,No,Moderate,Yes,None,No,Decumbent,None,20755,Medium,
Spring and Summer,,None,No,No,No,,No,Green,Porous,Porous,Fine,,No,Rhizomatous,Moderate,1.4,No,No,Moderate,No,None,No,Erect,None,12926,Medium,
Spring and Summer,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,4.0,No,No,Long,No,None,No,Erect,None,20903,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,20816,,
"Spring, Summer, Fall",Slow,None,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Rapid,4.5,No,No,Short,Yes,None,No,Semi-Erect,None,20954,Medium,
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Slow,85.0,No,No,Moderate,No,None,Yes,Erect,None,70649,High,18
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.0,No,No,Long,No,None,No,Semi-Erect,None,18129,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,18150,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,1.8,No,No,Long,No,None,No,Semi-Erect,None,18180,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,Moderate,No,None,No,Erect,None,18236,Medium,
Spring and Summer,,None,No,Yes,No,Orange,Yes,Green,Dense,Porous,Medium,Brown,No,Multiple Stem,Slow,30.0,No,No,Short,No,None,Yes,Erect,None,70066,High,18
Spring,Moderate,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Rhizomatous,Moderate,4.9,No,No,Long,No,None,No,Erect,None,21103,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,2.6,No,No,Moderate,No,None,No,Erect,None,18297,Medium,
Spring and Summer,,None,No,Yes,No,Green,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Slow,75.0,No,No,Moderate,No,None,Yes,Erect,None,70586,High,30
Spring,Moderate,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,4.9,No,No,Long,No,None,No,Erect,None,21127,,
"Spring, Summer, Fall",Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,5.0,No,No,Long,No,None,No,Erect,None,18321,Medium,
Spring,Slow,None,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,5.2,No,No,Long,No,None,No,Erect,None,18330,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Long,No,None,No,Semi-Erect,None,18354,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,18385,,
,,,,,,,,,,,,,,,,,,,,,,,,,71330,,
Spring and Summer,Slow,None,No,No,No,Green,No,Gray-Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,1.0,No,No,Long,No,None,No,Erect,None,18452,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,2.0,No,No,Long,No,None,No,Erect,None,18467,Medium,
Spring and Summer,,None,No,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Slow,80.0,No,No,Moderate,No,None,Yes,Erect,None,70594,High,30
Spring and Summer,Slow,None,No,No,No,Green,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,3.0,No,No,Long,No,None,No,Semi-Erect,None,18494,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,2.5,No,No,Long,No,None,No,Erect,None,18499,Medium,
Spring and Summer,,None,No,No,No,Yellow,No,Yellow-Green,Dense,Porous,Fine,Brown,Yes,Single Stem,Slow,120.0,No,No,Long,No,None,Yes,Erect,None,70608,High,35
"Spring, Summer, Fall",Slow,None,No,No,No,Green,No,Dark Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,17314,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,17440,,
Spring,Slow,None,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,4.3,No,No,Long,No,None,No,Erect,None,17455,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Rapid,5.0,No,No,Long,No,None,No,Erect,None,17576,High,
Spring and Summer,,None,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Stem,Slow,75.0,No,No,Long,No,None,Yes,Erect,None,70622,High,15
Spring,Slow,None,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Slow,2.0,No,No,Moderate,No,None,No,Semi-Erect,None,72708,High,
,,,,,,,,,,,,,,,,,,,,,,,,,17676,,
,,,,,,,,,,,,,,,,,,,,,,,,,17706,,
,,,,,,,,,,,,,,,,,,,,,,,,,17707,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.3,No,No,Moderate,No,None,No,Semi-Erect,None,17718,Medium,
Spring and Summer,,None,Yes,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Multiple Stem,Moderate,20.0,No,No,Short,No,None,Yes,Erect,None,70117,High,14
Spring and Summer,,None,No,Yes,No,Red,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Rapid,2.0,No,No,Long,No,None,Yes,Climbing,None,49184,High,
,,,,,,,,,,,,,,,,,,,,,,,,,17749,,
,,,,,,,,,,,,,,,,,,,,,,,,,17767,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.5,No,No,Long,No,None,No,Erect,None,17826,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Long,No,None,No,Erect,None,17859,Medium,
Spring,,None,No,Yes,No,White,Yes,Dark Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,60.0,No,No,Long,No,Low,Yes,Erect,None,49194,High,20
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Slow,3.0,No,No,Moderate,No,None,No,Erect,None,17885,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,3.5,No,No,Moderate,No,None,No,Erect,None,17903,Medium,
Spring,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,4.2,No,No,Long,No,None,No,Erect,None,17921,,
,,,,,,,,,,,,,,,,,,,,,,,,,17948,,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,2.8,No,No,Long,No,None,No,Erect,None,17981,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,3.0,No,No,Moderate,No,None,No,Erect,None,17988,Medium,
Spring,Slow,None,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,3.2,No,No,Long,No,None,No,Erect,None,18058,,
Spring and Summer,,None,No,No,No,Blue,No,Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,3.0,No,No,Moderate,No,Low,Yes,Semi-Erect,None,87033,High,3
Spring and Summer,,None,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,30.0,No,No,Short,No,None,Yes,Erect,None,78328,Medium,25
Spring and Summer,,None,No,Yes,No,Green,No,Green,Moderate,Porous,Medium,Orange,No,Single Stem,Moderate,80.0,Yes,No,Moderate,No,None,Yes,Erect,None,70928,High,35
Spring and Summer,,None,No,Yes,No,Green,No,Green,Dense,Porous,Coarse,Purple,No,Single Stem,Rapid,60.0,No,No,Moderate,No,None,Yes,Erect,None,70944,High,26
Spring,,None,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,White,Yes,Multiple Stem,Moderate,15.0,No,No,Short,No,None,Yes,Erect,None,47594,Medium,15
,,,,,,,,,,,,,,,,,,,,,,,,,70952,,
Spring and Summer,,None,No,Yes,No,White,No,Green,,,Coarse,Orange,Yes,Thicket Forming,Rapid,15.0,No,No,Moderate,No,None,No,Columnar,None,75002,High,
Spring,,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Bunch,Rapid,2.4,No,No,,No,Medium,No,Erect,Slight,78361,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,50704,,
,,,,,,,,,,,,,,,,,,,,,,,,,14459,,
Spring,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Black,Yes,Rhizomatous,Moderate,4.6,No,No,Moderate,Yes,None,No,Erect,None,21302,,
Spring,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Black,No,Rhizomatous,Moderate,3.3,No,No,Moderate,Yes,None,No,Erect,None,21304,,
,,,,,,,,,,,,,,,,,,,,,,,,,33436,,
,,,,,,,,,,,,,,,,,,,,,,,,,14477,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Porous,Medium,Blue,Yes,Multiple Stem,Slow,25.0,No,No,Short,No,None,No,Erect,None,49693,High,20
,,,,,,,,,,,,,,,,,,,,,,,,,33399,,
Spring,Slow,None,No,No,Yes,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,4.9,No,No,Long,No,None,No,Erect,None,21368,High,
Spring and Summer,,None,No,No,No,White,No,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Moderate,16.0,No,No,Moderate,No,None,No,Erect,None,64788,High,16
,,,,,,,,,,,,,,,,,,,,,,,,,78506,,
,,,,,,,,,,,,,,,,,,,,,,,,,72862,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Black,No,Single Crown,Slow,15.0,No,No,Long,No,None,Yes,Climbing,None,72874,Medium,
Spring and Summer,,None,Yes,Yes,No,White,Yes,Dark Green,Dense,Porous,Medium,Black,Yes,Multiple Stem,Moderate,25.0,No,No,Moderate,No,None,Yes,Erect,None,75150,High,25
Spring and Summer,,None,Yes,No,No,White,Yes,Green,Dense,Moderate,Coarse,Green,Yes,Stoloniferous,Moderate,7.0,No,No,Moderate,No,None,No,Semi-Erect,None,75152,High,7
Spring and Summer,,None,No,No,No,White,No,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Moderate,10.0,No,No,Short,No,None,No,Erect,None,70074,High,10
Summer,Slow,None,No,Yes,No,Blue,No,Green,Moderate,Moderate,Medium,,No,Single Crown,Moderate,3.2,No,No,Moderate,No,None,No,Erect,None,33849,,
Spring and Summer,,None,No,No,No,Yellow,No,Green,Dense,Moderate,Coarse,Brown,Yes,Multiple Stem,Moderate,15.0,No,No,Long,No,None,Yes,Erect,None,70081,,15
,,,,,,,,,,,,,,,,,,,,,,,,,16911,,
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Porous,Porous,Medium,Red,Yes,Multiple Stem,Moderate,30.0,No,No,Short,No,None,Yes,Erect,,75171,High,20
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Moderate,Porous,Fine,Black,Yes,Thicket Forming,Moderate,16.0,No,No,Moderate,No,None,Yes,Erect,None,75174,Medium,16
Spring and Summer,Slow,None,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Medium,Black,Yes,Single Crown,Moderate,2.0,No,No,Moderate,No,None,No,Erect,None,33940,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,28406,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Moderate,Coarse,Brown,Yes,Rhizomatous,Moderate,10.0,No,No,Moderate,No,None,Yes,Erect,None,75196,High,6
Spring and Summer,Slow,None,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Rapid,3.0,No,No,Short,No,None,No,Erect,None,33978,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,33987,,
,,,,,,,,,,,,,,,,,,,,,,,,,33992,,
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Dense,Moderate,Medium,Red,Yes,Single Stem,Moderate,30.0,No,No,Long,No,None,Yes,Erect,None,89092,High,30
,,,,,,,,,,,,,,,,,,,,,,,,,89186,,
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Red,Yes,Single Stem,Moderate,30.0,No,No,Long,No,None,Yes,Erect,None,89404,Medium,25
Spring and Summer,,None,Yes,Yes,No,White,Yes,Yellow-Green,Dense,Moderate,Fine,Red,Yes,Multiple Stem,Moderate,30.0,No,No,Long,No,None,Yes,Erect,None,89605,Medium,24
,,,,,,,,,,,,,,,,,,,,,,,,,45660,,
Summer and Fall,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Rhizomatous,Rapid,0.7,No,No,Short,No,None,No,Semi-Erect,None,18590,Medium,
Summer and Fall,Slow,None,No,No,No,Brown,No,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,2.0,No,No,Short,No,None,No,Erect,None,18714,Medium,
Spring,Slow,None,No,No,Yes,Brown,No,Green,Moderate,Porous,Fine,Red,Yes,Bunch,Moderate,3.2,No,No,Long,No,None,No,Erect,None,18835,High,
Spring,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.4,No,No,Moderate,No,None,No,Erect,None,21508,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,21519,,
,,,,,,,,,,,,,,,,,,,,,,,,,21520,,
Spring and Summer,Slow,None,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,2.6,No,No,Short,No,None,No,Erect,None,21602,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,21603,,
Spring and Summer,Slow,Low,No,Yes,No,Purple,Yes,Green,Moderate,Porous,Medium,Brown,Yes,Single Crown,Moderate,3.0,No,No,Moderate,No,Low,No,Erect,None,79106,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,13296,,
,,,,,,,,,,,,,,,,,,,,,,,,,73087,,
Summer and Fall,,None,No,No,No,Red,Yes,Green,Dense,Moderate,Coarse,Brown,No,Colonizing,Rapid,8.0,No,No,Long,No,None,Yes,Erect,None,84380,High,
Spring and Summer,Slow,None,No,No,No,,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,Long,No,None,No,Semi-Erect,None,21710,Medium,
Summer,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,4.9,No,No,Short,No,None,No,Erect,None,21712,,
,,,,,,,,,,,,,,,,,,,,,,,,,71832,,
,,,,,,,,,,,,,,,,,,,,,,,,,71836,,
Spring,,None,No,No,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,2.4,No,No,Long,No,None,Yes,Erect,None,42692,High,2
,,,,,,,,,,,,,,,,,,,,,,,,,27319,,
Spring and Summer,,None,Yes,Yes,Yes,Yellow,No,Dark Green,Moderate,Porous,Medium,Orange,Yes,Single Crown,Slow,55.0,No,No,Long,No,None,Yes,Irregular,None,64536,High,25
,,,,,,,,,,,,,,,,,,,,,,,,,67061,,
,,,,,,,,,,,,,,,,,,,,,,,,,34298,,
,,,,,,,,,,,,,,,,,,,,,,,,,13562,,
,,,,,,,,,,,,,,,,,,,,,,,,,13568,,
Spring and Summer,Slow,None,No,No,No,Brown,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,1.6,No,No,Moderate,No,None,No,Erect,None,13578,,
,,,,,,,,,,,,,,,,,,,,,,,,,13597,,
,,,,,,,,,,,,,,,,,,,,,,,,,13605,,
Summer,Slow,None,No,No,Yes,Brown,No,Dark Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,2.6,No,No,Moderate,No,None,No,Erect,None,18864,High,
Spring and Summer,Slow,None,No,No,Yes,Purple,Yes,Green,Porous,Porous,Fine,Black,No,Single Stem,Moderate,1.2,No,No,Long,No,None,No,Erect,None,34475,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,White,No,,Porous,Porous,,Brown,No,Rhizomatous,Moderate,0.7,No,No,Moderate,No,None,No,Erect,None,18868,Medium,
Summer,Slow,None,No,No,No,Purple,Yes,Dark Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,2.7,No,No,Moderate,No,None,No,Erect,None,34506,High,
"Spring, Summer, Fall",Moderate,None,No,No,No,Yellow,No,Green,Porous,Porous,Coarse,Brown,No,Bunch,Rapid,3.0,No,No,Short,No,None,No,Erect,None,22394,Medium,
Spring,Slow,None,No,No,Yes,White,No,Gray-Green,Moderate,Porous,Medium,Yellow,No,Multiple Stem,Rapid,,No,No,Long,No,None,No,Erect,None,15884,High,
,,,,,,,,,,,,,,,,,,,,,,,,,22465,,
